Task Name,Original Date,New Date
Team Kickoff,3/25/2025,4/10/2025
Design Review,3/30/2025,4/17/2025
Development Start,4/10/2025,4/24/2025
Sprint 1 Complete,4/15/2025,5/1/2025
Mid-Project Review,4/22/2025,5/8/2025
QA Testing Begins,4/30/2025,5/15/2025
Bug Fixes,5/10/2025,5/22/2025
Final Testing,5/15/2025,5/29/2025
Database Schema Design,3/10/2025,3/25/2025
API Documentation,3/20/2025,4/5/2025
Frontend Prototype,3/28/2025,4/12/2025
Microservices Architecture,4/5/2025,4/20/2025
CI/CD Pipeline Setup,4/8/2025,4/27/2025
User Authentication Module,4/14/2025,4/30/2025
Performance Optimization,4/25/2025,5/10/2025
Security Audit,5/1/2025,5/18/2025
User Acceptance Testing,5/12/2025,5/25/2025
DevOps Knowledge Transfer,5/18/2025,5/30/2025
