Task Name,Original Date,New Date
Team Kickoff,3/25/2025,4/10/2025
Design Review,3/30/2025,4/17/2025
Requirements Gathering,4/5/2025,4/20/2025
Stakeholder Presentation,4/8/2025,4/22/2025
Development Start,4/10/2025,4/24/2025
Sprint 1 Complete,4/15/2025,5/1/2025
Architecture Review,4/18/2025,5/5/2025
Mid-Project Review,4/22/2025,5/8/2025
Sprint 2 Complete,4/28/2025,5/12/2025
QA Testing Begins,4/30/2025,5/15/2025
User Acceptance Testing,5/8/2025,5/22/2025
Documentation Complete,5/15/2025,5/30/2025
Final Review Meeting,5/20/2025,6/5/2025
Deployment Preparation,5/25/2025,6/10/2025
Go-Live,5/31/2025,6/15/2025
Post-Implementation Review,6/15/2025,6/30/2025
